Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,lat,long,disp_0.5_mile,disp_1_mile,school_0.5_mile,school_1_mile
2015-01-01,1610.0,Southeast,19,M,B,M,possess 28.5 grams or less of marijuana**,33.9456,-118.2739,1,2,5,16
2015-01-01,820.0,Hollywood,23,M,B,F,transport/sell/furnish/etc marijuana,34.1016,-118.3387,0,5,2,4
2015-01-02,1030.0,Pacific,24,F,W,F,transport/sell/furnish/etc marijuana,33.992,-118.4201,1,2,5,9
2015-01-02,1530.0,Pacific,30,M,O,F,possession marijuana for sale,33.944,-118.4073,0,1,0,0
2015-01-03,1940.0,Southwest,26,M,H,F,transport/sell/furnish/etc marijuana,34.026,-118.3652,0,1,2,5
2015-01-03,1655.0,West LA,33,M,W,F,transport/sell/furnish/etc marijuana,34.0501,-118.4472,0,4,1,4
2015-01-03,2350.0,Hollywood,54,M,B,F,possession marijuana for sale,34.1016,-118.3267,2,2,2,10
2015-01-03,2215.0,Hollywood,20,M,H,F,possession marijuana for sale,34.0865,-118.3169,2,5,3,11
2015-01-03,1230.0,Wilshire,21,M,B,I,possess 28.5 grams or less of marijuana,34.0357,-118.3372,0,1,0,9
2015-01-03,1700.0,Southwest,21,M,B,M,poss of more than 28.5 grams of marijuana,34.0145,-118.3045,0,1,4,15
2015-01-03,5.0,Hollywood,22,M,H,M,possess 28.5 grams or less of marijuana**,34.0863,-118.3051,4,5,2,11
2015-01-04,1950.0,West LA,22,M,W,M,possess 28.5 grams or less of marijuana**,34.05,-118.4106,0,0,0,0
2015-01-04,315.0,Mission,32,M,H,F,possession marijuana for sale,34.2427,-118.4702,0,0,2,13
2015-01-04,315.0,Mission,40,F,H,F,possession marijuana for sale,34.2427,-118.4702,0,0,2,13
2015-01-05,1730.0,N Hollywood,25,F,W,F,possession marijuana for sale,34.1722,-118.3727,1,5,2,6
2015-01-05,1730.0,N Hollywood,35,M,O,F,transport/sell/furnish/etc marijuana,34.1722,-118.3727,1,5,2,6
2015-01-05,2020.0,West LA,21,M,O,F,transport/sell/furnish/etc marijuana,34.0468,-118.4473,1,4,1,5
2015-01-05,1230.0,Harbor,24,M,H,F,possession marijuana for sale,33.7888,-118.2403,0,0,1,1
2015-01-05,1430.0,Foothill,24,M,H,F,unlawfully plant/cultivate/etc marijuana,34.2606,-118.3399,0,0,0,0
2015-01-06,1350.0,Pacific,24,M,B,I,possess 28.5 grams or less of marijuana,33.9875,-118.4741,1,2,1,3
2015-01-06,1920.0,West LA,18,M,H,F,transport/sell/furnish/etc marijuana,34.0468,-118.4473,1,4,1,5
2015-01-06,1405.0,Pacific,30,M,B,F,transport/sell/furnish/etc marijuana,33.9848,-118.4698,1,2,2,4
2015-01-07,1700.0,77th Street,29,M,H,F,possession marijuana for sale,33.9691,-118.309,0,0,1,5
2015-01-07,1430.0,Devonshire,40,M,W,F,possession marijuana for sale,34.2202,-118.571,0,0,2,6
2015-01-07,645.0,Foothill,21,M,H,F,possession marijuana for sale,34.2345,-118.3886,0,0,3,3
2015-01-07,630.0,Southwest,50,M,B,F,possession marijuana for sale,34.0074,-118.329,0,1,2,10
2015-01-07,1530.0,Southwest,58,M,B,F,transport/sell/furnish/etc marijuana,34.0145,-118.2937,0,1,2,17
2015-01-07,1645.0,Southwest,47,M,B,F,transport/sell/furnish/etc marijuana,34.0109,-118.3013,0,1,3,15
2015-01-07,1530.0,Southwest,47,M,B,F,transport/sell/furnish/etc marijuana,34.0145,-118.2937,0,1,2,17
2015-01-07,2000.0,Van Nuys,50,M,W,M,possess 28.5 grams or less of marijuana,34.1976,-118.4662,0,1,1,8
2015-01-08,2150.0,77th Street,36,M,B,M,possess 28.5 grams or less of marijuana**,33.9601,-118.2782,1,1,4,20
2015-01-08,1845.0,77th Street,22,M,B,M,possess 28.5 grams or less of marijuana**,33.9629,-118.2695,0,1,4,14
2015-01-08,1525.0,Mission,23,M,H,M,possess 28.5 grams or less of marijuana**,34.2288,-118.4655,0,0,4,14
2015-01-08,1455.0,Hollenbeck,25,M,O,F,possession marijuana for sale,34.0661,-118.2089,0,2,1,12
2015-01-08,2315.0,West LA,27,M,O,F,possession marijuana for sale,34.0449,-118.3866,0,0,2,7
2015-01-08,2145.0,Southwest,22,M,B,F,transport/sell/furnish/etc marijuana,34.0165,-118.3132,1,1,7,11
2015-01-08,1540.0,Hollywood,20,M,H,F,possession marijuana for sale,34.1016,-118.3374,0,5,2,5
2015-01-09,1330.0,Topanga,41,M,W,F,possession marijuana for sale,34.2119,-118.6176,0,0,2,4
2015-01-09,1630.0,77th Street,58,M,W,F,possession marijuana for sale,33.9708,-118.2783,0,1,2,13
2015-01-09,2220.0,Harbor,19,M,H,F,transport/sell/furnish/etc marijuana,33.7862,-118.2908,0,0,1,3
2015-01-09,2330.0,Rampart,17,M,H,M,possess 28.5 grams or less of marijuana,34.0777,-118.2868,1,2,7,13
2015-01-09,1134.0,Mission,28,M,H,M,possess 28.5 grams or less of marijuana,34.3086,-118.4317,0,0,3,8
2015-01-09,2350.0,West Valley,20,M,H,I,possess 28.5 grams or less of marijuana,34.1939,-118.536,0,0,0,8
2015-01-10,1050.0,Newton,26,M,H,F,possession marijuana for sale,34.0104,-118.2535,0,1,8,17
2015-01-10,2205.0,Rampart,32,M,H,M,poss of more than 28.5 grams of marijuana,34.062,-118.2804,2,3,9,26
2015-01-10,1145.0,Central,27,M,W,F,unlawfully plant/cultivate/etc marijuana,34.0481,-118.2507,7,12,2,9
2015-01-10,215.0,Topanga,24,M,B,F,possession marijuana for sale,34.1956,-118.6059,0,1,2,7
2015-01-10,1115.0,Wilshire,20,M,B,M,possess 28.5 grams or less of marijuana,34.0453,-118.366,1,3,2,6
2015-01-11,1955.0,N Hollywood,25,F,O,F,possession marijuana for sale,34.1722,-118.3727,1,5,2,6
2015-01-12,2115.0,N Hollywood,22,M,H,F,possession marijuana for sale,34.194,-118.4181,0,0,2,6
2015-01-12,2115.0,N Hollywood,21,F,H,F,possession marijuana for sale,34.194,-118.4181,0,0,2,6
2015-01-13,1015.0,Central,47,M,B,F,possession marijuana for sale,34.0428,-118.2461,6,13,1,6
2015-01-13,1900.0,77th Street,48,M,B,F,possession marijuana for sale,33.994,-118.3308,0,0,5,11
2015-01-13,1830.0,Olympic,29,M,B,F,possession marijuana for sale,34.0418,-118.3134,1,2,4,12
2015-01-13,1710.0,West LA,45,M,W,I,possess 28.5 grams or less of marijuana,34.0407,-118.4405,1,6,1,6
2015-01-13,1630.0,West LA,47,M,W,M,possess 28.5 grams or less of marijuana**,34.0459,-118.4507,0,2,1,4
2015-01-13,1515.0,Van Nuys,21,M,W,M,possess 28.5 grams or less of marijuana,34.2049,-118.4706,0,1,1,5
2015-01-13,1950.0,Van Nuys,22,M,B,M,possess 28.5 grams or less of marijuana,34.2048,-118.4727,0,1,1,5
2015-01-14,1610.0,Central,28,M,H,F,unlawfully plant/cultivate/etc marijuana,34.0388,-118.2574,8,19,0,9
2015-01-14,1520.0,Pacific,29,M,B,F,transport/sell/furnish/etc marijuana,33.9913,-118.4751,2,3,1,3
2015-01-14,1800.0,Southwest,36,M,H,F,transport/sell/furnish/etc marijuana,34.0327,-118.309,0,1,2,14
2015-01-14,1745.0,77th Street,22,M,H,F,possession marijuana for sale,33.9646,-118.3003,0,0,3,8
2015-01-14,1755.0,Southwest,31,M,H,F,transport/sell/furnish/etc marijuana,34.0309,-118.3078,0,1,2,14
2015-01-14,500.0,Topanga,50,F,W,I,possess 28.5 grams or less of marijuana,34.1915,-118.5843,0,0,0,2
2015-01-15,1645.0,Newton,19,F,W,F,transport/sell/furnish/etc marijuana,33.9851,-118.2783,0,0,3,16
2015-01-15,1645.0,Newton,20,F,H,F,transport/sell/furnish/etc marijuana,33.9851,-118.2783,0,0,3,16
2015-01-15,1645.0,Newton,43,M,O,F,transport/sell/furnish/etc marijuana,33.9851,-118.2783,0,0,3,16
2015-01-15,1645.0,Newton,42,M,O,F,transport/sell/furnish/etc marijuana,33.9851,-118.2783,0,0,3,16
2015-01-15,1645.0,Newton,21,F,O,F,transport/sell/furnish/etc marijuana,33.9851,-118.2783,0,0,3,16
2015-01-15,1645.0,Newton,35,M,B,F,transport/sell/furnish/etc marijuana,33.9851,-118.2783,0,0,3,16
2015-01-16,1755.0,Mission,15,F,H,I,possess 28.5 grams or less of marijuana,34.2282,-118.4575,0,0,5,14
2015-01-16,1805.0,Mission,14,F,H,I,possess 28.5 grams or less of marijuana,34.2282,-118.4575,0,0,5,14
2015-01-16,1800.0,Mission,15,M,H,I,possess 28.5 grams or less of marijuana,34.2282,-118.4575,0,0,5,14
2015-01-16,2250.0,Hollywood,31,M,B,I,possess 28.5 grams or less of marijuana,34.1016,-118.331,2,2,1,8
2015-01-16,1330.0,Central,25,M,B,M,possess 28.5 grams or less of marijuana,34.0428,-118.2461,6,13,1,6
2015-01-16,2055.0,Southeast,21,M,B,F,transport/sell/furnish/etc marijuana,33.939,-118.2314,0,0,5,17
2015-01-17,1410.0,Hollywood,21,M,W,M,possess 28.5 grams or less of marijuana,34.1016,-118.3267,2,2,2,10
2015-01-17,915.0,Pacific,26,M,B,M,possess 28.5 grams or less of marijuana,33.9968,-118.4662,2,4,3,4
2015-01-17,1510.0,Southeast,27,M,B,F,possession marijuana for sale,33.9315,-118.232,0,0,2,10
2015-01-17,2140.0,Foothill,19,M,H,F,transport/sell/furnish/etc marijuana,34.2202,-118.3489,0,1,0,2
2015-01-18,100.0,Hollywood,19,M,H,F,transport/sell/furnish/etc marijuana,34.1084,-118.3213,0,2,1,7
2015-01-18,100.0,Hollywood,23,M,H,F,transport/sell/furnish/etc marijuana,34.1084,-118.3213,0,2,1,7
2015-01-18,2250.0,Foothill,24,F,H,M,possess 28.5 grams or less of marijuana,34.2627,-118.4049,0,0,0,6
2015-01-18,1411.0,West Valley,24,M,H,I,possess 28.5 grams or less of marijuana,34.2012,-118.5099,0,0,2,11
2015-01-18,1430.0,West Valley,26,M,W,M,poss of more than 28.5 grams of marijuana,34.1847,-118.5441,0,0,2,5
2015-01-18,1800.0,Southwest,28,M,B,F,possession marijuana for sale,34.0055,-118.3138,0,2,5,13
2015-01-19,1820.0,West LA,47,F,W,I,possess 28.5 grams or less of marijuana,34.0362,-118.4367,4,6,2,7
2015-01-19,2000.0,Olympic,41,M,H,F,transport/sell/furnish/etc marijuana,34.0382,-118.2847,0,5,5,21
2015-01-19,1745.0,N Hollywood,25,F,H,F,possession marijuana for sale,34.1556,-118.3703,0,3,0,5
2015-01-19,1745.0,N Hollywood,26,F,W,F,possession marijuana for sale,34.1556,-118.3703,0,3,0,5
2015-01-19,1745.0,N Hollywood,32,F,O,F,possession marijuana for sale,34.1556,-118.3703,0,3,0,5
2015-01-20,1550.0,Mission,19,M,H,M,possess 28.5 grams or less of marijuana**,34.2246,-118.4622,0,1,4,11
2015-01-20,1500.0,Central,29,F,B,F,possession marijuana for sale,34.0454,-118.2466,6,12,0,4
2015-01-20,1650.0,Van Nuys,38,M,W,F,possession marijuana for sale,34.1452,-118.4154,0,0,0,2
2015-01-20,1635.0,Hollywood,25,F,H,F,possession marijuana for sale,34.0962,-118.349,2,6,1,8
2015-01-20,1635.0,Hollywood,27,M,W,F,possession marijuana for sale,34.0962,-118.349,2,6,1,8
2015-01-20,1500.0,Central,23,M,B,F,possession marijuana for sale,34.0448,-118.2474,6,13,0,5
2015-01-21,230.0,Hollywood,22,M,B,I,possess 28.5 grams or less of marijuana,34.1016,-118.3417,0,5,2,4
2015-01-21,1430.0,Foothill,19,F,H,I,possess 28.5 grams or less of marijuana,34.2179,-118.4078,0,0,3,7
2015-01-21,1430.0,Foothill,18,M,H,I,possess 28.5 grams or less of marijuana,34.2179,-118.4078,0,0,3,7
2015-01-21,1800.0,77th Street,22,F,H,F,possession marijuana for sale,33.9709,-118.3308,0,0,1,5
2015-01-21,1815.0,West LA,28,M,O,F,transport/sell/furnish/etc marijuana,34.0366,-118.3889,0,2,3,5
2015-01-21,1730.0,Devonshire,27,M,H,F,transport/sell/furnish/etc marijuana,34.234,-118.5536,0,0,0,3
2015-01-22,230.0,Olympic,21,M,B,I,possess 28.5 grams or less of marijuana,34.0597,-118.3091,0,2,3,11
