,0,crime_count_2015,crime_count_2016,cirme_count_2017,crime_count_2018,crime_count_2015_mile,crime_count_2016_mile,cirme_count_2017_mile,crime_count_2018_mile
0,Extra Special Delivery,108,108,121,134,252,253,267,279
1,Ganjarunner,103,132,122,99,335,361,383,335
2,The Higher Path,39,43,29,37,172,168,166,167
3,Kushfly,12,20,17,18,42,49,48,48
4,MedMen West Hollywood,9,22,20,19,109,127,142,154
5,Green Earth Collective,33,26,25,19,120,89,105,90
6,HERB,491,472,457,462,913,948,913,989
7,Organic Kind,81,77,87,84,287,269,277,277
8,MedMen Downtown - DTLA,435,446,430,489,961,985,952,1042
9,MedMen Abbot Kinney,123,99,108,124,248,223,238,238
10,Mecca Natural Medicine,58,62,56,64,224,227,211,237
11,Pot Valet,2,2,0,0,70,70,75,84
12,Top Shelf Delivery,25,26,22,27,167,171,203,220
13,FireHaus Marijuana Dispensary,67,52,53,52,220,203,195,224
14,Cornerstone Research Collective,27,30,30,18,68,49,54,37
15,Fast & Friendly Delivery Service,0,0,0,0,0,0,0,0
16,Universal Collective,26,23,18,26,98,89,75,99
17,Sunset Herbal Corner Dispensary,57,58,77,63,247,252,275,277
18,Green Angel,53,56,40,52,160,165,158,171
19,Rose Collective,68,69,71,83,186,162,172,189
20,Herbarium,57,58,73,73,317,382,422,417
21,Los Angeles Patients & Caregivers Group,53,58,66,72,336,387,434,436
22,The Healing Touch,42,58,51,58,123,138,157,162
23,Green Door West Delivery,43,43,49,50,153,150,147,179
24,Alternative Herbal Health Services,20,24,24,18,175,179,220,238
25,Exhalence LA,31,12,26,18,77,67,85,75
26,The Buddha Company,41,34,46,31,184,184,216,212
27,Western Caregivers / California Cannabis Melrose,88,89,85,87,320,307,341,367
28,Pineapple Express Delivery,0,0,0,0,0,0,0,0
29,Luvbrite Delivery,0,0,0,0,0,0,0,0
30,Nugg,105,123,93,131,344,355,349,363
31,California Alternative Caregivers,35,41,36,43,153,145,134,162
32,MedMen LAX,37,40,37,36,119,117,129,130
33,Green Valley Collective,112,93,90,109,230,218,231,241
34,MedMen Beverly Hills,42,60,62,56,96,105,131,143
35,Best Buds LA,13,20,13,11,83,93,81,91
36,420 Caregiver Sherman Oaks Dispensary,46,52,35,42,162,165,160,167
37,Los Angeles Kush,178,153,165,191,612,570,625,609
38,Cannary West,51,50,62,53,165,166,158,168
39,Treetop LA,43,62,35,58,143,160,151,174
40,TLC Collective,35,29,31,21,98,96,90,80
