,name,is_closed,url,rating,price,review_count,latitude,longitude,location
0,Extra Special Delivery,False,https://www.yelp.com/biz/extra-special-delivery-north-hollywood-16?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,5.0,$,68,34.1667203,-118.3751849,"(34.1667203, -118.3751849)"
1,Ganjarunner,False,https://www.yelp.com/biz/ganjarunner-los-angeles-2?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,5.0,,51,34.10161,-118.30206,"(34.10161, -118.30206)"
2,The Higher Path,False,https://www.yelp.com/biz/the-higher-path-sherman-oaks-9?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.5,$$,149,34.1493390052598,-118.439874686508,"(34.1493390052598, -118.439874686508)"
3,Kushfly,False,https://www.yelp.com/biz/kushfly-los-angeles-2?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.0,$$,147,34.1276,-118.34669,"(34.1276, -118.34669)"
4,MedMen West Hollywood,False,https://www.yelp.com/biz/medmen-west-hollywood-west-hollywood-4?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.0,$$,323,34.0905911417357,-118.367290442404,"(34.0905911417357, -118.367290442404)"
5,Green Earth Collective,False,https://www.yelp.com/biz/green-earth-collective-los-angeles-6?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.5,$$,85,34.12247,-118.21067,"(34.12247, -118.21067)"
6,HERB,False,https://www.yelp.com/biz/herb-los-angeles-3?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.5,$$,58,34.0434989929199,-118.250205993652,"(34.0434989929199, -118.250205993652)"
7,Organic Kind,False,https://www.yelp.com/biz/organic-kind-los-angeles-2?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,5.0,$$$,37,34.075957,-118.264026,"(34.075957, -118.264026)"
8,MedMen Downtown - DTLA,False,https://www.yelp.com/biz/medmen-downtown-dtla-los-angeles?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.0,$$,127,34.0446,-118.25444,"(34.0446, -118.25444)"
9,MedMen Abbot Kinney,False,https://www.yelp.com/biz/medmen-abbot-kinney-los-angeles-3?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.5,$,96,33.99088,-118.46783,"(33.99088, -118.46783)"
10,Mecca Natural Medicine,False,https://www.yelp.com/biz/mecca-natural-medicine-los-angeles?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.0,$,117,34.03226,-118.35938,"(34.03226, -118.35938)"
11,Pot Valet,False,https://www.yelp.com/biz/pot-valet-santa-monica-5?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.5,$$,58,34.0053558349609,-118.479789733887,"(34.0053558349609, -118.479789733887)"
12,Top Shelf Delivery,False,https://www.yelp.com/biz/top-shelf-delivery-west-hollywood-2?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.5,$$$$,54,34.09289,-118.36068,"(34.09289, -118.36068)"
13,FireHaus Marijuana Dispensary,False,https://www.yelp.com/biz/firehaus-marijuana-dispensary-los-angeles-2?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.0,$$,86,34.042108,-118.4416266,"(34.042108, -118.4416266)"
14,Cornerstone Research Collective,False,https://www.yelp.com/biz/cornerstone-research-collective-los-angeles?adjust_creative=sZ3yryoyE3Dcs3GsAvlcFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=sZ3yryoyE3Dcs3GsAvlcFA,4.0,$$,104,34.1418972,-118.2220956,"(34.1418972, -118.2220956)"
