name,lat,long
Extra Special Delivery,34.1667203,-118.37518490000002
Ganjarunner,34.10161,-118.30206000000001
The Higher Path,34.1493390052598,-118.439874686508
Kushfly,34.1276,-118.34669
MedMen West Hollywood,34.0905911417357,-118.367290442404
Green Earth Collective,34.12247,-118.21067
HERB,34.0434989929199,-118.250205993652
Organic Kind,34.075957,-118.264026
MedMen Downtown - DTLA,34.0446,-118.25443999999999
MedMen Abbot Kinney,33.99088,-118.46783
Mecca Natural Medicine,34.03226,-118.35938
Pot Valet,34.0053558349609,-118.479789733887
Top Shelf Delivery,34.092890000000004,-118.36068
FireHaus Marijuana Dispensary,34.042108,-118.44162659999998
Cornerstone Research Collective,34.1418972,-118.2220956
Fast & Friendly Delivery Service,33.86491420000001,-118.3944767
Universal Collective,34.1343,-118.36018999999999
Sunset Herbal Corner Dispensary,34.172473,-118.38241599999999
Green Angel,34.148807899999994,-118.43737820000001
Rose Collective,33.997927399999995,-118.474851
Herbarium,34.08853,-118.3446
Los Angeles Patients & Caregivers Group,34.090768880054696,-118.346886039038
The Healing Touch,34.16492,-118.52481999999999
Green Door West Delivery,34.03313,-118.43871999999999
Alternative Herbal Health Services,34.090559999999996,-118.36021000000001
Exhalence LA,34.22189,-118.359563
The Buddha Company,34.0302999,-118.23083999999999
Western Caregivers / California Cannabis Melrose,34.08318,-118.30991000000002
Pineapple Express Delivery,33.886109999999995,-118.40531000000001
Luvbrite Delivery,34.01158,-118.49226999999999
Nugg,34.029109954834,-118.283065795898
California Alternative Caregivers,34.002253100000004,-118.4691969
MedMen LAX,33.95765,-118.39575
Green Valley Collective,34.164390000000004,-118.36737
MedMen Beverly Hills,34.0746620981703,-118.38371857828899
Best Buds LA,33.9557231,-118.41681750000001
420 Caregiver Sherman Oaks Dispensary,34.148959999999995,-118.43868
Los Angeles Kush,34.06429,-118.27141999999999
Cannary West,34.0373,-118.4327
Treetop LA,34.07543,-118.22145
TLC Collective,34.0177450381105,-118.198729850021
Apothecary420,34.15312,-118.46892
LA Wonderland Marijuana Dispensary Recreational,34.033994,-118.26453400000001
LA Meds 4 Less,34.0256790477334,-118.2403121549
The Farmacy Westwood,34.06113,-118.44765
Green Cross of Torrance,33.8313551,-118.3085481
MOTA Medicine Of The Angels,34.09284,-118.28034
The Green Earth Farmacie,34.2117783364303,-118.462784255872
The Reefinery,34.1796,-118.4577
Clones On Fire,34.0295114,-118.2848199
New Age Care Center,34.01078,-118.2796
New Amsterdam Naturals - NNCC,34.02887,-118.3927
Compassion Union,34.19417,-118.38673
The Balloon Room,34.04582,-118.2606
Limited Edition420,34.099959999999996,-118.32698
Kush Alley,34.222696104141995,-118.49788128528499
LB Collective,33.87491,-118.17116999999999
LA Cannabis Co - Inglewood,33.98545,-118.31199
Happy Leaf Collective,34.04422,-118.43246
GREENWOLF LA,34.1256846,-118.2639331
Lit Co,34.03941,-118.2677
Cannajuana Releaf,34.135259999999995,-118.24425
Herbal Nature,34.0412657611647,-118.253331611495
Fountain Of Wellbeing,34.2021534,-118.3910774
Shivas Dtla,34.03679,-118.26325
The Pottery,34.03348,-118.47366000000001
Natural Remedies Caregivers,34.087443,-118.309602
Westside Organic Delivery,34.0306434631348,-118.490600585938
LA Cannabis Co - Los Angeles,34.0187479,-118.3193331
The Green Rose,34.083709999999996,-118.29986000000001
Connected Cannabis,33.81496,-118.16671000000001
Hollywood Holistic,34.098440999999994,-118.30793899999999
Cali RX,34.14877,-118.43756
The Garden Secrets,34.08325,-118.34791000000001
MK Wellness,34.0332832336426,-118.262367248535
Sun Valley Caregivers,34.2380086,-118.3698842
Hollyweed,34.04442,-118.35258
Smartweed,34.089529999999996,-118.30872
Arts District Cannabis Collective,34.0258621153614,-118.233082213054
BeKind Meds,34.098209999999995,-118.35238999999999
The Pottery,34.04502,-118.34853000000001
Canna Cabana 420,34.031929999999996,-118.26438999999999
Downtown Natural Caregivers,34.04757670000001,-118.2438226
Kushy Delivery,34.0029134,-118.4156558
BMAC,34.0734871339028,-118.216198776151
Project Cannabis,34.025373699580605,-118.24170154289601
Trippy Mellow,34.0617109,-118.319307839063
LaLa Land Collective,33.936661,-118.27364508961901
Deals On Wheels,34.1863564309187,-118.370255641624
Korner Town,34.0473449664072,-118.28738679532101
Kushology,33.9994224826034,-118.300244238465
Mai Collective,34.0401396,-118.3082272
2HIGH2DIE,33.765979766845696,-118.18602752685499
Kaz Collective,34.053979999999996,-118.32030400000001
Downtown Patient Group - DTPG,34.02818,-118.23193
Health Stop,34.0767857007629,-118.287211954594
Enjoyable CBD,34.099340000000005,-118.32718
Cookies Melrose,34.08336,-118.37236999999999
Kushland,33.961618,-118.27856799999999
Semilla_HRC,34.209359899999995,-118.36263999999998
Original Green Bear,34.031220000000005,-118.25006
MedEX,34.02077620000001,-118.22058999999999
Cali Releaf Church of Mien Tao,34.09013,-118.12377
420 Health Care Deliveries,34.028040000000004,-118.21383
Gas Stop,33.94402,-118.28226000000001
ThirdEye Wellness,33.99256,-118.4233
Metro Green Meds,34.032309000000005,-118.261788
Leaf and Lion,33.88154,-118.16253999999999
Best of Buddha Whittier,33.972409999999996,-118.07091000000001
Metro Bloomin,34.04582,-118.2606
Mind Kontrol Delivery Service,34.0426712036133,-118.25088500976601
DTLA Garden,34.0358536,-118.2548773
Vapeur Terp,34.2967177,-118.41329809999999
OG Bros,34.227342,-118.433116
The Cannabis Method,34.03313,-118.43871999999999
Lords Room,34.0506116857525,-118.361776177311
Mai Fire Buds1 420 MMJ Cannabis Marijuana Delivery,34.1848754882812,-118.601669311523
24 7 Marijuana Delivery,34.0616751,-118.28724009999998
Nothing But Fire 24/7,34.0261797,-118.2766156
831 Organiks,34.0489812,-118.2589574
Long Beach Wellness Center,33.8101,-118.11693000000001
SFV Delivers,34.253440000000005,-118.60081000000001
The Green Dot,33.98703,-118.4441
UNIVERSITY 20 CAP,34.020270000000004,-118.27578000000001
The House Of Ounces,34.03864,-118.26136000000001
Nugmen Cannabis Delivery,34.2839508056641,-118.43859100341801
The Circle,33.78905,-118.13945
420 Frat House,34.01083,-118.27141
Cookies Los Angeles,33.9895796636458,-118.20375321631501
West Coast Clones,33.8439445495605,-117.941757202148
From The Earth,34.1782,-119.19631000000001
Stoney Cannabis Delivery,33.76342,-117.79442
420 Nature Aid,33.970001220703104,-118.37628173828101
Harvest Moon Dispensables,34.0464706420898,-118.43395233154301
CHC 7G 8th,34.01766,-118.24386000000001
LA Discount Super Store,34.0345297,-118.2164091
Jack Canna,34.0242671,-118.23910390000002
420 Ganja Delivery,34.0235135,-118.20966509999998
Green Mile,34.156063079834,-118.34368896484399
420Weedkeef,34.0161098854751,-118.49539093673201
UBER WEED,34.18638,-118.3847
Blowing Trees,34.0286,-118.20085
Downtown Buyers Club,34.023582,-118.2446988
Nursery's Best MMJ Delivery,33.96159,-118.16139
Greenberry Collective,34.198571,-118.491772
HerbanMed Delivery,33.8013191223145,-117.836860656738
High Flyers CA,33.85415,-118.1916
Five Star Collective,33.9455849,-118.316414
NoHiCBD,34.421741485595696,-118.561622619629
Vybes,34.08879,-118.37803000000001
High Maintenance LA,34.03732,-118.26116
Marijuana Strains Store,34.055459899999995,-118.27788999999999
EZ Custom Packaging,34.0469234,-118.24419520000001
Giving Greens Delivery,33.9740867614746,-118.24983215331999
Purecannastore,34.03367,-118.18426000000001
Spectwonders,33.90323,-118.20291200000001
Venice Medical Center,34.02425,-118.39645
Pasadena 419,34.14924,-118.1202686
Venice Kush,33.97935,-118.25005
The Blue Diamond Center,34.155159999999995,-118.34302
101 CBD,34.42295,-119.28902
Bud Cellar,34.1650902,-118.3756637
